제목,채널명,재생 수,좋아요 수
★7회 전패 신화★ 한해가일냈다ㄷㄷ 다음목표는 키어로라는 예고까지 to be continued | tvN 220514 방송,놀라운 토요일,3432,30
"'평양 변이' 막으려면 지원 수용해야",MBC뉴스,3022,2
전 부인이 이혼을 결정한 결정적 이혼 사유는 영화 때문..?😲 TV CHOSUN 20220513 방송,우리 이혼했어요2,44384,95
북한 코로나 환자 폭증…김정은 "건국 이래 대동란",JTBC뉴스,9469,5
[예능연구소 4K] 임영웅 세로캠 ‘다시 만날 수 있을까’ (LIM YOUNG-WOONG FanCam) @Show! MusicCore 220514,쇼! 음악중심,2994,1737
＂꺼벙이 말에 흔들리지 마!＂ 마음을 다잡는 신동미! 밀당하는 두 사람♨ | KBS 220514 방송,현재는 아름다워,2457,24
티격태격 사랑💔싸움(?) 더욱 가까워진 두 사람 TV CHOSUN 20220513 방송,우리 이혼했어요2,55492,424
“미사일 쏟아졌다” 기자 취재도 말려…우크라 르비우 르포,채널A뉴스,3915,3
윤지온을 더욱 슬프게 한 이야기 ＂사랑이 생겼다고 하더구나＂ MBC 220506 방송,내일,29665,153
쿨~해진 박지영의 태도에 당황한 반효정! ＂뭐야? 안 따라나오네?＂ | KBS 220514 방송,현재는 아름다워,1868,10
[미방분] 5월 2주차 1위 임영웅 - 다시 만날 수 있을까 (Lim Young Woong - If We Ever Meet Again) MBC 220514 방송,쇼! 음악중심,3019,1713
신민아 이병헌의 걱정 어린 조언에 굳은 약속 ＂전화 자주 할게＂ | tvN 220514 방송,우리들의 블루스,14966,86
웃음이 떠나지 않는 세 가족 저녁식사ヽ(＊＞∇＜)ﾉ TV CHOSUN 20220513 방송,우리 이혼했어요2,47645,401
상반되는 두 부모님의 반응! 괜히 속상한 박지영 ＂바람둥이 아니야?＂ | KBS 220514 방송,현재는 아름다워,2086,15
'삼성의 에이스' 뷰캐넌 승리를 견인한 완벽투 / 9회초,KBO리그 삼성 홈경기 영상,11706,285
예능 새내기 엠마스톤의 짧지만 강한 개인기! & 끼쟁이 김고은의 소름 돋는 싱크로율의 개인기🤩 MBC 220514 방송,놀면 뭐하니?,3649,16
